timestamp,state,risk_score,fps
2026-01-17 19:46:37,SUSPICIOUS,0.47,12
2026-01-17 19:46:39,POTENTIAL THREAT,0.77,4
2026-01-17 19:47:20,SUSPICIOUS,0.57,33
2026-01-17 19:53:35,POTENTIAL THREAT,0.9,10
2026-01-17 19:53:39,SUSPICIOUS,0.37,9
2026-01-17 20:30:22,POTENTIAL THREAT,0.67,32
2026-01-17 20:36:11,1,SUSPICIOUS,0.4,12
2026-01-17 20:36:13,1,POTENTIAL THREAT,0.77,12
2026-01-17 20:36:18,1,SUSPICIOUS,0.4,12
2026-01-17 20:36:59,1,SUSPICIOUS,0.5,10
2026-01-17 20:37:09,1,SUSPICIOUS,0.4,12
2026-01-17 20:38:31,1,SUSPICIOUS,0.53,10
2026-01-17 20:38:32,1,POTENTIAL THREAT,0.8,12
2026-01-17 20:38:44,1,SUSPICIOUS,0.37,32
2026-01-17 20:43:38,1,SUSPICIOUS,0.43,10
2026-01-17 20:43:46,1,POTENTIAL THREAT,0.73,29
2026-01-17 20:45:24,2,SUSPICIOUS,0.47,10
2026-01-17 20:45:37,2,POTENTIAL THREAT,0.77,22
2026-01-17 20:47:18,2,POTENTIAL THREAT,0.7,10
2026-01-17 20:47:33,2,POTENTIAL THREAT,0.63,9
2026-01-17 20:47:35,2,SUSPICIOUS,0.6,34
2026-01-17 20:47:47,1,SUSPICIOUS,0.53,10
2026-01-17 20:49:11,1,SUSPICIOUS,0.33,10
2026-01-17 20:51:46,1,SUSPICIOUS,0.33,10
2026-01-17 20:52:43,1,SUSPICIOUS,0.37,10
2026-01-17 20:52:52,1,SUSPICIOUS,0.37,9
2026-01-17 20:53:47,1,SUSPICIOUS,0.33,32
2026-01-17 20:54:12,1,SUSPICIOUS,0.33,31
2026-01-17 20:54:17,1,SUSPICIOUS,0.33,10
2026-01-17 20:54:20,1,SUSPICIOUS,0.4,10
2026-01-17 20:54:46,1,SUSPICIOUS,0.6,30
2026-01-17 20:55:14,1,SUSPICIOUS,0.37,10
